Date,SP5 High,SP5 Low,SP5 Close,SP5 12 day SMA,SP5 26 day SMA,SP5 12 day EMA,SP5 26 day EMA,SP5 MACD
12/13/96,731.400024,721.969971,728.640015,745.1591646,742.0784631,740.8529171,737.2704272,3.58248985
12/16/96,732.679993,719.400024,720.97998,742.3241629,741.8219229,737.7955421,736.0637274,1.73181471
12/17/96,727.669983,716.690002,726.039978,739.7424928,741.6380757,735.9869938,735.3212275,0.665766338
12/18/96,732.76001,726.039978,731.539978,737.6574911,741.6253827,735.3028375,735.0411349,0.261702613
12/19/96,746.059998,731.539978,745.76001,737.4474895,742.2484601,736.9116333,735.8351257,1.076507631
12/20/96,755.409973,745.76001,748.869995,737.7616578,742.9307674,738.7513813,736.8006715,1.950709708
12/23/96,750.400024,743.280029,746.919983,737.9733226,743.3553819,740.0080892,737.5502502,2.457839043
12/24/96,751.030029,746.919983,751.030029,738.925827,743.8711525,741.7037723,738.5487523,3.155019952
12/26/96,757.070007,751.02002,755.820007,739.4308268,744.5942289,743.8755007,739.8281045,4.047396174
12/27/96,758.75,754.820007,756.789978,740.2016601,745.1569214,745.8623433,741.0845396,4.777803765
12/30/96,759.200012,752.72998,753.849976,741.2949931,745.5376892,747.0912099,742.0301275,5.061082445
12/31/96,753.950012,740.73999,740.73999,742.2483266,745.4603812,746.1140992,741.9345617,4.179537428
1/2/97,742.809998,729.549988,737.01001,742.9458262,745.0096131,744.7134701,741.5697801,3.143689937
1/3/97,748.23999,737.01001,748.030029,745.1999969,744.6634592,745.2237099,742.0483171,3.175392821
1/6/97,753.309998,743.820007,747.650024,747.0008341,744.3438439,745.596989,742.4632583,3.133730661
1/7/97,753.26001,742.179993,753.22998,748.8083343,744.2757662,746.7712953,743.2607933,3.510502032
1/8/97,755.719971,747.710022,748.409973,749.0291645,743.9446106,747.0233996,743.642214,3.381185573
1/9/97,757.679993,748.409973,754.849976,749.5274963,743.8788405,748.2274882,744.4724186,3.755069663
1/10/97,759.650024,746.919983,759.5,750.575831,744.3103778,749.9617208,745.5855728,4.376148062
1/13/97,762.849976,756.690002,759.51001,751.2824961,744.8646099,751.4306884,746.6170126,4.813675832
1/14/97,772.039978,759.51001,768.859985,752.3691609,745.8061476,754.1121186,748.2646401,5.847478492
1/15/97,770.950012,763.719971,767.200012,753.2366638,746.8676875,756.1256407,749.6672603,6.458380411
1/16/97,772.049988,765.25,769.75,754.5616658,747.6365332,758.221696,751.1548706,7.06682534
1/17/97,776.369995,769.719971,776.169983,757.5141652,748.7376873,760.9829709,753.0078419,7.975128981
1/20/97,780.080017,774.190002,776.700012,760.8216653,750.12115,763.4009772,754.7628175,8.638159743
1/21/97,783.719971,772,782.719971,763.7124938,752.1757648,766.3731301,756.8337177,9.539412371
1/22/97,786.22998,779.559998,786.22998,766.9274902,754.3907634,769.4280301,759.0112186,10.41681145
1/23/97,794.669983,776.640015,777.559998,768.9549917,756.566918,770.6791021,760.3852023,10.29389978
1/24/97,778.210022,768.169983,770.52002,770.7974956,758.2776888,770.6546279,761.1359295,9.518698373
1/27/97,771.429993,764.179993,765.02002,771.6449993,759.5653827,769.7877652,761.4236399,8.364125213
1/28/97,776.320007,761.75,765.02002,772.1050009,760.3061523,769.0542659,761.6900385,7.364227435
1/29/97,772.700012,765.02002,772.5,773.1875001,761.2149987,769.5843788,762.4907764,7.093602482
1/30/97,784.169983,772.5,784.169983,774.4633333,762.647691,771.8283179,764.0966435,7.731674425
1/31/97,791.859985,784.169983,786.159973,776.04333,763.9988427,774.033188,765.7309642,8.302223732
2/3/97,787.140015,783.119995,786.72998,777.4583283,765.1876878,775.9865406,767.2864469,8.700093704
2/4/97,789.280029,783.679993,789.26001,778.5491639,766.4365352,778.0286128,768.9141182,9.114494581
2/5/97,792.710022,773.429993,778.280029,778.680832,767.3761526,778.0672922,769.6078894,8.459402828
2/6/97,780.349976,774.450012,780.150024,778.4666698,768.8919232,778.3877125,770.3887882,7.998924243
2/7/97,789.719971,778.190002,789.559998,778.7441713,770.9130765,780.1065256,771.8088779,8.297647787
2/10/97,793.460022,784.690002,785.429993,779.4000042,772.3515367,780.9255206,772.8178493,8.107671273
2/11/97,789.599976,780.950012,789.590027,780.9891714,773.9646137,782.2585216,774.0602329,8.198288725
2/12/97,802.77002,789.590027,802.77002,784.1350048,775.8699999,785.4141367,776.1868838,9.227252965
2/13/97,812.929993,802.77002,811.820007,788.0350037,778.3088473,789.4765783,778.8263744,10.65020393
2/14/97,812.200012,808.150024,808.47998,791.0333353,780.3715398,792.4001786,781.0229378,11.37724081
2/18/97,816.289978,806.340027,816.289978,793.7100016,782.5557697,796.0755323,783.6353111,12.44022122
2/19/97,817.679993,811.200012,812.48999,795.9041697,784.5934613,798.6008335,785.7726947,12.82813878
2/20/97,812.48999,800.349976,802.799988,797.243337,785.898846,799.2468573,787.0339757,12.21288156
2/21/97,804.940002,799.98999,801.77002,798.2858378,787.2284617,799.6350362,788.1255346,11.50950161
2/24/97,810.640015,798.419983,810.280029,800.9525045,788.787309,801.2727274,789.7666082,11.50611915
2/25/97,812.849976,807.650024,812.030029,803.6091716,790.1665415,802.9276968,791.4157505,11.51194635
2/26/97,812.700012,798.130005,805.679993,804.9525045,791.2811562,803.351127,792.4723611,10.87876597
2/27/97,805.679993,795.059998,795.070007,805.755839,791.7561575,802.0771086,792.6647793,9.41232929
2/28/97,795.700012,788.5,790.820007,805.8583373,791.932697,800.3452468,792.5281295,7.817117309
3/3/97,795.309998,785.659973,795.309998,805.2366688,792.6153893,799.5705931,792.7341938,6.836399315
3/4/97,798.929993,789.97998,790.950012,803.4975026,793.4011583,798.2443499,792.6020322,5.642317681
3/5/97,801.98999,790.950012,801.98999,802.9566701,794.8230802,798.8206022,793.2974365,5.523165726
3/6/97,804.109985,797.5,798.559998,801.4791718,796.1130793,798.7805092,793.6872558,5.0932534
3/7/97,808.190002,798.559998,804.969971,800.8525035,797.3619244,799.7327341,794.5230125,5.209721607
3/10/97,813.659973,803.659973,813.650024,801.7566732,798.4957721,801.8738556,795.9398282,5.93402746
3/11/97,814.900024,810.77002,811.340027,802.5541738,799.4642357,803.3301897,797.0805837,6.249606047
3/12/97,811.340027,801.070007,804.26001,802.0525055,800.1384677,803.473239,797.612393,5.860845964
3/13/97,804.26001,789.440002,789.559998,800.1800029,800.1500057,801.3327404,797.0159193,4.316821057
3/14/97,796.880005,789.559998,793.169983,799.1375021,800.7226962,800.0769315,796.7310351,3.345896402
3/17/97,796.280029,782.97998,795.710022,799.1908367,801.3211577,799.4050993,796.6554045,2.749694768
3/18/97,797.179993,785.469971,789.659973,799.0941672,801.3250028,797.9058491,796.1372244,1.768624681
3/19/97,791.590027,780.030029,785.77002,798.299169,801.3380808,796.0387985,795.3692834,0.669515118
3/20/97,786.289978,778.039978,782.650024,797.6075033,801.0711576,793.978987,794.427116,-0.44812898
3/21/97,786.440002,782.650024,784.099976,796.1166688,800.353079,792.4591392,793.6621427,-1.203003495
3/24/97,791.01001,780.789978,790.890015,795.4775036,799.5480793,792.2177354,793.4567999,-1.239064423
3/25/97,798.109985,788.390015,789.070007,794.1525066,798.8015419,791.7334695,793.1318523,-1.398382718
3/26/97,794.890015,786.77002,790.5,792.2233379,797.8096197,791.543705,792.9369002,-1.393195243
3/27/97,792.580017,767.320007,773.880005,789.1016694,796.3246202,788.8262127,791.5252784,-2.69906568
3/31/97,773.880005,756.130005,757.119995,785.1733348,794.5676974,783.948333,788.9767389,-5.028405816
